"UKF","G","BEN",1,"ASW19B"
"UKX","G","BEN",1,"PIK20B"
"VCS","G","VMFG",1,"Discus CS"
"VMF","G","VMFG",2,"DG505"
"VPB","G","BGC",1,"LS8"
"VTI","G","SHGC",1,"Boomerang"
"VTM","G","VMFG",1,"Ventus C"
"VTP","G","VMFG",1,"Ventus B"
"WBG","W","BEN",1,"Winch Bendigo"
"WGG","W","GGC",2,"Winch Geelong"
"WMB","W","MTBGC",1,"Winch Mt Beauty"
"WQB","G","RICHMD",1,"PIK 20D"
"WQF","G","GGC",1,"PIK 20D"
"WQR","G","BEN",1,"DG101G"
"WSH","W","SHGC",2,"Winch Swan Hill"
"WVN","G","BGC",1,"Single Astir"
"WVR","G","GRAMP",2,"IS28"
"WVU","G","MTBGC",2,"IS28"
"XJI","G","GRAMP",2,"Puchacz"
"XOA","G","BEN",1,"SZD Junior"
"XOC","G","GGC",1,"SZD Junior"
"XON","M","BGC",2,"DG-500M"
"XQB","G","VMFG",2,"Puchacz"
"ZAE","G","VMFG",1,"ASW24"
"ZAV","M","SPAV",2,"Janus"
"ZAW","G","BKGC",1,"PW-5"
"ZRD","G","VMFG",2,"Duo Discus T"
"GTR","G","VMFG",1,"Boomerang"
"XQP","G","GGC",1,"LAK 12"
"CQP","G","VMFG",1,"LS3"
